target,params
0.8618804664723032,"{'max_depth': 10.559764671424075, 'min_samples_leaf': 1.0, 'min_samples_split': 11.658918889450208, 'n_estimators': 170.55339150284772}"
0.8493075801749271,"{'max_depth': 7.534769869421662, 'min_samples_leaf': 2.6445332186019073, 'min_samples_split': 7.457698939784356, 'n_estimators': 39.08811697425766}"
0.8500364431486881,"{'max_depth': 8.681797755550457, 'min_samples_leaf': 6.021593268733156, 'min_samples_split': 12.259874471292411, 'n_estimators': 168.2828299354741}"
0.861698250728863,"{'max_depth': 11.391911823489714, 'min_samples_leaf': 1.4296481152230656, 'min_samples_split': 2.7363089721914413, 'n_estimators': 64.15744698052274}"
0.8418367346938775,"{'max_depth': 5.6257648269791245, 'min_samples_leaf': 1.5051256694536974, 'min_samples_split': 2.7757696011481148, 'n_estimators': 64.9141811771376}"
0.8584183673469388,"{'max_depth': 16.09490935617889, 'min_samples_leaf': 1.4136257476932752, 'min_samples_split': 2.4091893635062034, 'n_estimators': 60.95676435969769}"
0.8627915451895044,"{'max_depth': 14.051537725954192, 'min_samples_leaf': 1.0, 'min_samples_split': 6.452755602480078, 'n_estimators': 64.38111987553631}"
0.8589650145772595,"{'max_depth': 17.3309169971616, 'min_samples_leaf': 1.0899489740916595, 'min_samples_split': 3.009850039884317, 'n_estimators': 66.87353798093125}"
0.8547740524781341,"{'max_depth': 18.443207584554816, 'min_samples_leaf': 6.299993124370846, 'min_samples_split': 19.99948685078145, 'n_estimators': 163.3098304312913}"
0.8624271137026239,"{'max_depth': 12.454221561621074, 'min_samples_leaf': 1.6080977061634911, 'min_samples_split': 10.457686986945278, 'n_estimators': 63.98843005477726}"
0.8580539358600583,"{'max_depth': 14.25817471238374, 'min_samples_leaf': 3.1907088493754308, 'min_samples_split': 15.072578940364, 'n_estimators': 61.686101787133694}"
0.85932944606414,"{'max_depth': 15.927557898152775, 'min_samples_leaf': 1.0, 'min_samples_split': 20.0, 'n_estimators': 171.29820789712}"
0.857871720116618,"{'max_depth': 17.775900212454335, 'min_samples_leaf': 1.4727174370672382, 'min_samples_split': 12.048889680079315, 'n_estimators': 65.07754338724848}"
0.8511297376093294,"{'max_depth': 8.507462804380157, 'min_samples_leaf': 1.245618583462505, 'min_samples_split': 16.005558538970426, 'n_estimators': 67.08312604489302}"
0.8613338192419825,"{'max_depth': 13.774533019970367, 'min_samples_leaf': 1.0, 'min_samples_split': 10.840128158315073, 'n_estimators': 179.3028131381389}"
0.8571428571428571,"{'max_depth': 18.636392385881805, 'min_samples_leaf': 1.0, 'min_samples_split': 13.812618307244005, 'n_estimators': 181.4504829335597}"
